Nr;UnixTime;Zeit;Temp;Hum;Druck;PM10;PM25
1;1611426600;21.01.23 19:30;20.1;42.7;986.6;1.9;1.4
2;1611428400;21.01.23 20:00;20;42.9;986.7;1.4;1.3
3;1611430200;21.01.23 20:30;19.9;43.2;986.5;2.6;2.1
4;1611432000;21.01.23 21:00;19.8;43.2;986.4;2.8;1.6
5;1611433800;21.01.23 21:30;19.8;43.2;986.3;1.6;1.5
6;1611435600;21.01.23 22:00;19.9;43.1;986.1;1.6;1.5
7;1611437400;21.01.23 22:30;19.9;43.1;985.9;2.1;1.4
8;1611439200;21.01.23 23:00;19.8;43.1;985.8;1.7;1.6
9;1611441000;21.01.23 23:30;19.9;43.2;985.8;1.8;1.7
10;1611442800;21.01.24 00:00;19.9;43.1;985.7;1.3;1.2
11;1611444600;21.01.24 00:30;19.9;43.1;985.5;1.3;1.2
12;1611446400;21.01.24 01:00;19.9;43;985.5;2;1.8
13;1611448200;21.01.24 01:30;19.9;42.9;985.6;1.6;1.1
14;1611450000;21.01.24 02:00;19.9;42.9;985.8;0.9;0.9
15;1611451800;21.01.24 02:30;19.9;42.8;986.2;1.2;1.1
16;1611453600;21.01.24 03:00;19.9;42.7;986.5;1.1;1.1
17;1611455400;21.01.24 03:30;20;42.7;986.6;1.4;1.3
18;1611457200;21.01.24 04:00;20;42.6;987;0.8;0.8
19;1611459000;21.01.24 04:30;20;42.6;987.5;0.6;0.6
20;1611460800;21.01.24 05:00;20.1;42.5;988;1.1;0.8
21;1611464400;21.01.24 06:00;20.1;42.5;989.1;0.5;0.5
22;1611466200;21.01.24 06:30;20;42.4;989.5;0.6;0.6
23;1611468000;21.01.24 07:00;20.1;42.3;990;0.5;0.5
24;1611469800;21.01.24 07:30;20.1;42.3;990.5;0.7;0.6
25;1611471600;21.01.24 08:00;20.1;42.3;990.9;0.5;0.5
26;1611473400;21.01.24 08:30;20.1;42.3;991.4;0.9;0.9
27;1611475200;21.01.24 09:00;20.1;42.1;991.8;0.8;0.8
28;1611477000;21.01.24 09:30;20.1;42.1;992.3;0.8;0.6
29;1611478800;21.01.24 10:00;20.1;42.1;992.7;0.6;0.6
30;1611480600;21.01.24 10:30;20.1;42.1;993.1;0.7;0.7
31;1611482400;21.01.24 11:00;20.1;42;993.5;0.7;0.7
32;1611484200;21.01.24 11:30;20.1;42;994;0.8;0.8
33;1611486000;21.01.24 12:00;19.8;43.4;994.1;1;1
34;1611487800;21.01.24 12:30;19.8;43.2;994.3;1.2;1.1
35;1611489600;21.01.24 13:00;20.4;41.9;994.1;1.3;1.1
36;1611491400;21.01.24 13:30;20.9;41.1;993.8;2;1.2
37;1611493200;21.01.24 14:00;21.6;39.9;994;1.6;1.3
38;1611509400;21.01.24 18:30;19.6;44.7;994.1;2.8;2.2
39;1611511200;21.01.24 19:00;19.6;44.7;994;2.3;2.1
40;1611514800;21.01.24 20:00;23.3;37;993;4.7;3.5
41;1611516600;21.01.24 20:30;23.4;37;992.9;3.3;2.9
42;1611520200;21.01.24 21:30;21.1;41.6;993.1;2.3;2.1
43;1611525600;21.01.24 23:00;6.8;56.1;992.1;11.8;10.2
44;1611527400;21.01.24 23:30;3.7;70.8;991.8;14.8;11.2
45;1611529200;21.01.25 00:00;3.3;75.1;991.7;15.5;11.7
46;1611531000;21.01.25 00:30;3.3;76.5;991.5;15.5;11.4
47;1611532800;21.01.25 01:00;3.3;78.4;991.4;13;10.1
48;1611534600;21.01.25 01:30;3.2;81.6;991.3;12.2;8.1
49;1611536400;21.01.25 02:00;3.1;85.6;991.4;11.1;8.2
50;1611538200;21.01.25 02:30;3;88.5;991.4;14.9;10.2
51;1611540000;21.01.25 03:00;2.9;89.2;991.5;12.9;9.9
52;1611541800;21.01.25 03:30;2.9;88.5;991.5;14.6;9.1
53;1611543600;21.01.25 04:00;2.7;88.1;991.5;12.3;9.4
54;1611545400;21.01.25 04:30;2.7;89;991.8;14.6;8.7
55;1611547200;21.01.25 05:00;2.7;90.5;991.9;16.1;10.6
56;1611550800;21.01.25 06:00;2.4;91.5;992.3;14.8;11.2
57;1611552600;21.01.25 06:30;2.2;92.2;992.7;13.8;9.9
58;1611554400;21.01.25 07:00;2.4;92.9;992.9;15;10.9
59;1611556200;21.01.25 07:30;2.5;94.1;993.3;17.2;11.2
60;1611558000;21.01.25 08:00;2.7;94;993.9;23.9;15
61;1611559800;21.01.25 08:30;2.8;94.6;994.5;19.4;15.6
62;1611561600;21.01.25 09:00;3;92.4;995;25;15.7
63;1611563400;21.01.25 09:30;2.8;90.5;995.5;23.6;16.4
64;1611567000;21.01.25 10:30;4.5;82.6;996.7;18.1;13.6
65;1611568800;21.01.25 11:00;4.4;82.8;997.1;16.1;12.6
66;1611574200;21.01.25 12:30;10.3;54.6;996.1;16;13.6
67;1611576000;21.01.25 13:00;6.6;72.7;996.2;20.1;16.4
68;1611577800;21.01.25 13:30;5.5;70.9;996.4;23.7;17.6
69;1611579600;21.01.25 14:00;5.6;71.4;996.7;26.9;18.2
70;1611581400;21.01.25 14:30;5.3;71.5;996.8;30.1;23.4
71;1611583200;21.01.25 15:00;5.1;75.3;997.2;34.5;26.4
72;1611585000;21.01.25 15:30;5;73.7;997.5;26.6;18.3
73;1611586800;21.01.25 16:00;5;74.8;998;25.7;16.7
74;1611588600;21.01.25 16:30;5;76;998.5;24.5;17.4
75;1611590400;21.01.25 17:00;4.6;80.2;998.9;28.2;19.5
76;1611592200;21.01.25 17:30;3.8;85.8;999.4;62.9;41.8
77;1611594000;21.01.25 18:00;3.4;89.6;999.6;67.4;43.6
78;1611595800;21.01.25 18:30;3.4;88.8;999.8;60.1;38.8
79;1611597600;21.01.25 19:00;3.7;88.6;1000.1;64.8;35.8
80;1611599400;21.01.25 19:30;3.8;85.6;1000.3;63.9;36.8
81;1611601200;21.01.25 20:00;3.9;85.8;1000.5;72.7;37.8
82;1611603000;21.01.25 20:30;4;85.3;1000.7;58.5;35.9
83;1611604800;21.01.25 21:00;4.3;83.4;1000.8;54.9;32.5
84;1611606600;21.01.25 21:30;4.6;83.3;1000.9;45.3;27
85;1611608400;21.01.25 22:00;4.8;82.6;1000.9;41.8;24.3
86;1611610200;21.01.25 22:30;5;80.5;1000.9;23.6;14.7
87;1611612000;21.01.25 23:00;4.9;81.4;1000.9;25.6;15.6
88;1611613800;21.01.25 23:30;5;82.4;1001;29.1;15.8
89;1611615600;21.01.26 00:00;5.2;81.7;1001.2;28.3;15.8
90;1611617400;21.01.26 00:30;5.2;82.3;1001.1;23.4;17.5
91;1611619200;21.01.26 01:00;5.5;80.4;1001.1;27.1;16.5
92;1611621000;21.01.26 01:30;5.5;82;1001.3;26.7;15.9
93;1611622800;21.01.26 02:00;5.4;86;1001.3;30.2;18
94;1611624600;21.01.26 02:30;5.2;90.3;1001.4;31.3;16.7
95;1611626400;21.01.26 03:00;5.1;89.3;1001.7;28.9;13.8
96;1611628200;21.01.26 03:30;5.2;93.7;1001.8;27.8;12.8
97;1611630000;21.01.26 04:00;5.3;91.1;1002.1;18.6;10
98;1611631800;21.01.26 04:30;5.2;91.6;1002.4;21.1;9.7
99;1611633600;21.01.26 05:00;5.1;94.3;1002.6;31.4;13.7
100;1611635400;21.01.26 05:30;5.2;95.8;1003;24.2;10.6
101;1611637200;21.01.26 06:00;4.9;98.3;1003.7;29;10.5
102;1611639000;21.01.26 06:30;4.8;100;1003.7;26.7;10.9
103;1611640800;21.01.26 07:00;4.8;100;1004.2;31.1;11.2
104;1611642600;21.01.26 07:30;4.8;100;1004.3;29.5;14.4
105;1611644400;21.01.26 08:00;4.7;100;1004.8;25.7;13.2
106;1611646200;21.01.26 08:30;4.8;100;1005;29.6;17.3
107;1611648000;21.01.26 09:00;5.1;99.7;1005.6;33.7;16.3
108;1611649800;21.01.26 09:30;4.8;97.9;1006;24.7;14.6
109;1611651600;21.01.26 10:00;5.1;98.1;1006.4;24.9;14.4
110;1611653400;21.01.26 10:30;5.7;96;1006.8;21.7;14.1
111;1611655200;21.01.26 11:00;6;94.1;1007.5;22.7;13
112;1611657000;21.01.26 11:30;6.6;91;1007.7;31.6;17.1
113;1611658800;21.01.26 12:00;7.1;87.5;1007.9;23.1;13.9
114;1611660600;21.01.26 12:30;6.7;85;1007.9;18.6;11.4
115;1611662400;21.01.26 13:00;7;86.3;1008.1;27.5;13.5
116;1611664200;21.01.26 13:30;7.9;82;1008.1;19.9;10.8
117;1611666000;21.01.26 14:00;8.1;79;1008.1;15;8.7
118;1611667800;21.01.26 14:30;8.2;77.1;1008.1;16.6;7.1
119;1611669600;21.01.26 15:00;8.5;73.6;1008.3;12.6;7.6
120;1611671400;21.01.26 15:30;7.7;74.5;1008.5;18.3;8.1
121;1611673200;21.01.26 16:00;8;72.4;1008.8;15.8;7.6
122;1611675000;21.01.26 16:30;8.1;69.7;1008.9;14.9;8.9
123;1611676800;21.01.26 17:00;6.8;72.1;1009;15.8;9.3
124;1611678600;21.01.26 17:30;6.1;74.8;1008.9;8.7;5.6
125;1611680400;21.01.26 18:00;5.7;76.5;1009.2;15.2;8.6
